binctr, bin_num, bin_low, bin_high, mean, stdev, median, 68 CI low, 68 CI high, 95 CI low, 95 CI high, 99 CI low, 99 CI high, 68 data low, 68 data high, 95 data low, 95 data high, 99 data low, 99 data high
1.325E+01,9.000E+01,1.300E+01,1.350E+01,-4.083E-01,1.739E-01,-3.792E-01,-3.667E-01,-3.696E-01,-3.175E-01,-3.580E-01,-2.934E-01,-3.533E-01,-5.180E-01,-2.733E-01,-9.646E-01,-1.779E-01,-1.193E+00,-1.338E-01
1.375E+01,1.297E+03,1.350E+01,1.400E+01,-2.142E-01,1.656E-01,-1.929E-01,-1.883E-01,-1.893E-01,-1.833E-01,-1.869E-01,-1.745E-01,-1.854E-01,-3.743E-01,-5.050E-02,-5.393E-01,2.360E-02,-8.562E-01,7.860E-02
1.425E+01,3.511E+03,1.400E+01,1.450E+01,-1.473E-01,1.648E-01,-1.106E-01,-1.075E-01,-1.088E-01,-1.040E-01,-1.078E-01,-9.991E-02,-1.067E-01,-3.090E-01,-1.001E-04,-5.014E-01,5.430E-02,-7.443E-01,1.177E-01
1.475E+01,7.863E+03,1.450E+01,1.500E+01,-1.108E-01,1.519E-01,-6.850E-02,-6.653E-02,-6.756E-02,-6.397E-02,-6.698E-02,-6.226E-02,-6.595E-02,-2.600E-01,1.860E-02,-4.705E-01,6.660E-02,-6.220E-01,1.578E-01
1.525E+01,1.633E+04,1.500E+01,1.550E+01,-6.951E-02,1.366E-01,-3.150E-02,-3.040E-02,-3.104E-02,-2.870E-02,-3.059E-02,-2.746E-02,-2.952E-02,-1.887E-01,3.050E-02,-3.897E-01,8.430E-02,-5.480E-01,2.214E-01
1.575E+01,3.371E+04,1.550E+01,1.600E+01,-1.990E-02,1.068E-01,3.300E-03,3.798E-03,3.513E-03,4.725E-03,3.961E-03,5.587E-03,4.903E-03,-9.880E-02,4.570E-02,-2.584E-01,1.247E-01,-4.167E-01,2.977E-01
1.625E+01,6.681E+04,1.600E+01,1.650E+01,2.394E-02,9.539E-02,2.850E-02,2.869E-02,2.866E-02,2.929E-02,2.915E-02,2.986E-02,2.987E-02,-2.770E-02,7.344E-02,-1.742E-01,1.966E-01,-3.223E-01,3.821E-01
1.675E+01,1.304E+05,1.650E+01,1.700E+01,4.215E-02,9.630E-02,4.040E-02,4.051E-02,4.053E-02,4.098E-02,4.094E-02,4.135E-02,4.150E-02,-4.900E-03,9.470E-02,-1.683E-01,2.353E-01,-3.032E-01,4.385E-01
1.725E+01,2.257E+05,1.700E+01,1.750E+01,5.933E-02,8.765E-02,4.770E-02,4.777E-02,4.781E-02,4.798E-02,4.813E-02,4.822E-02,4.862E-02,1.180E-02,1.070E-01,-8.566E-02,2.525E-01,-1.992E-01,4.839E-01
1.775E+01,9.451E+04,1.750E+01,1.800E+01,6.288E-02,9.100E-02,4.390E-02,4.398E-02,4.404E-02,4.408E-02,4.462E-02,4.421E-02,4.586E-02,1.740E-02,9.340E-02,-1.280E-02,2.647E-01,-5.210E-02,6.452E-01
1.825E+01,4.630E+02,1.800E+01,1.850E+01,8.361E-01,4.046E-01,8.431E-01,8.611E-01,8.593E-01,8.826E-01,8.804E-01,8.880E-01,8.883E-01,4.153E-01,1.218E+00,-7.900E-03,1.645E+00,-1.240E-01,1.816E+00
1.875E+01,9.500E+01,1.850E+01,1.900E+01,1.242E+00,3.705E-01,1.245E+00,1.276E+00,1.276E+00,1.353E+00,1.311E+00,1.370E+00,1.316E+00,9.005E-01,1.571E+00,1.893E-01,1.891E+00,2.000E-02,1.936E+00
1.925E+01,1.300E+01,1.900E+01,1.950E+01,1.644E+00,2.395E-01,1.662E+00,1.786E+00,1.699E+00,1.798E+00,1.724E+00,1.798E+00,1.724E+00,1.213E+00,1.795E+00,1.171E+00,1.887E+00,1.171E+00,1.887E+00
1.975E+01,4.000E+00,1.950E+01,2.000E+01, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN, NAN
