kk,cdf
0.062659,0.0
0.063712,0.021619
0.064765,0.021619
0.065819,0.021619
0.066872,0.021619
0.067925,0.021619
0.068978,0.021619
0.070032,0.021619
0.071085,0.025428
0.072138,0.026022
0.073191,0.026813
0.074245,0.026813
0.075298,0.042891
0.076351,0.075839
0.077404,0.075839
0.078458,0.084694
0.079511,0.094291
0.080564,0.102355
0.081618,0.102355
0.082671,0.135352
0.083724,0.158751
0.084777,0.163204
0.085831,0.200158
0.086884,0.218067
0.087937,0.237756
0.088990,0.255269
0.090044,0.267636
0.091097,0.292223
0.092150,0.317156
0.093203,0.351885
0.094257,0.351885
0.095310,0.381518
0.096363,0.406946
0.097416,0.415850
0.098470,0.420006
0.099523,0.444642
0.100576,0.462897
0.101629,0.470565
0.102683,0.507074
0.103736,0.513456
0.104789,0.530227
0.105843,0.554467
0.106896,0.590581
0.107949,0.628178
0.109002,0.665034
0.110056,0.665183
0.111109,0.667359
0.112162,0.700455
0.113215,0.721134
0.114269,0.725735
0.115322,0.739735
0.116375,0.771693
0.117428,0.779311
0.118482,0.787128
0.119535,0.832245
0.120588,0.832245
0.121641,0.845899
0.122695,0.861086
0.123748,0.861828
0.124801,0.861927
0.125855,0.861927
0.126908,0.869744
0.127961,0.869744
0.129014,0.869744
0.130068,0.870486
0.131121,0.885822
0.132174,0.892599
0.133227,0.892599
0.134281,0.896309
0.135334,0.897150
0.136387,0.897150
0.137440,0.897200
0.138494,0.903384
0.139547,0.929801
0.140600,0.957406
0.141653,0.957802
0.142707,0.958346
0.143760,0.959187
0.144813,0.960226
0.145866,0.960918
0.146920,0.962007
0.147973,0.963045
0.149026,0.963540
0.150080,0.964282
0.151133,0.964975
0.152186,0.966063
0.153239,0.966063
0.154293,0.966063
0.155346,0.966063
0.156399,0.966657
0.157452,0.966657
0.158506,0.966657
0.159559,0.966657
0.160612,0.966657
0.161665,0.966657
0.162719,0.966657
0.163772,0.966657
0.164825,0.966657
0.165878,0.966657
0.166932,0.980410
0.167985,1.000000
