rd_kpc,cdf
0.000000,0.0
0.200000,0.000466
0.400000,0.001710
0.600000,0.005854
0.800000,0.013159
1.000000,0.023262
1.200000,0.037457
1.400000,0.056160
1.600000,0.078800
1.800000,0.104082
2.000000,0.132111
2.200000,0.164387
2.400000,0.195317
2.600000,0.229199
2.800000,0.264221
3.000000,0.299399
3.200000,0.333541
3.400000,0.366283
3.600000,0.398353
3.800000,0.429645
4.000000,0.460781
4.200000,0.491244
4.400000,0.521397
4.600000,0.548648
4.800000,0.576106
5.000000,0.599938
5.200000,0.623044
5.400000,0.645788
5.600000,0.668843
5.800000,0.687960
6.000000,0.706144
6.200000,0.723863
6.400000,0.739302
6.600000,0.752616
6.800000,0.766086
7.000000,0.780075
7.200000,0.793182
7.400000,0.805927
7.600000,0.817584
7.800000,0.827583
8.000000,0.836649
8.200000,0.846285
8.400000,0.854367
8.600000,0.862190
8.800000,0.869806
9.000000,0.877629
9.200000,0.884934
9.400000,0.890426
9.600000,0.895658
9.800000,0.900528
10.000000,0.906279
10.200000,0.911253
10.400000,0.916019
10.600000,0.920734
10.800000,0.924412
11.000000,0.928039
11.200000,0.931561
11.400000,0.934566
11.600000,0.937778
11.800000,0.941353
12.000000,0.944514
12.200000,0.947311
12.400000,0.950523
12.600000,0.953010
12.800000,0.954875
13.000000,0.957362
13.200000,0.959538
13.400000,0.961248
13.600000,0.963164
13.800000,0.965599
14.000000,0.967102
14.200000,0.969019
14.400000,0.970418
14.600000,0.972179
14.800000,0.974044
15.000000,0.975339
15.200000,0.976583
15.400000,0.977982
15.600000,0.979484
15.800000,0.980935
16.000000,0.982333
16.200000,0.983421
16.400000,0.984768
16.600000,0.986064
16.800000,0.986944
17.000000,0.987981
17.200000,0.989328
17.400000,0.990156
17.600000,0.990934
17.800000,0.992022
18.000000,0.992954
18.200000,0.993472
18.400000,0.994146
18.600000,0.994767
18.800000,0.995389
19.000000,0.996063
19.200000,0.996736
19.400000,0.997513
19.600000,0.998135
19.800000,0.998860
20.000000,1.000000
