re_kpc,cdf
0.000000,0.0
0.200000,0.005255
0.400000,0.016025
0.600000,0.044745
0.800000,0.087721
1.000000,0.139178
1.200000,0.188398
1.400000,0.241675
1.600000,0.292508
1.800000,0.339802
2.000000,0.384755
2.200000,0.426639
2.400000,0.466857
2.600000,0.501925
2.800000,0.533507
3.000000,0.564412
3.200000,0.593652
3.400000,0.618210
3.600000,0.642768
3.800000,0.666545
4.000000,0.685900
4.200000,0.703382
4.400000,0.720968
4.600000,0.737045
4.800000,0.751249
5.000000,0.764412
5.200000,0.776847
5.400000,0.788293
5.600000,0.799168
5.800000,0.808897
6.000000,0.817950
6.200000,0.827784
6.400000,0.835692
6.600000,0.844173
6.800000,0.852185
7.000000,0.858845
7.200000,0.865245
7.400000,0.872164
7.600000,0.878304
7.800000,0.883923
8.000000,0.889906
8.200000,0.894849
8.400000,0.899948
8.600000,0.904839
8.800000,0.908949
9.000000,0.914100
9.200000,0.917846
9.400000,0.921228
9.600000,0.925130
9.800000,0.928564
10.000000,0.931634
10.200000,0.934912
10.400000,0.937877
10.600000,0.940895
10.800000,0.943132
11.000000,0.945473
11.200000,0.947867
11.400000,0.949792
11.600000,0.951717
11.800000,0.954214
12.000000,0.956348
12.200000,0.958325
12.400000,0.960250
12.600000,0.961759
12.800000,0.963163
13.000000,0.964568
13.200000,0.966077
13.400000,0.967794
13.600000,0.968783
13.800000,0.969979
14.000000,0.971176
14.200000,0.972477
14.400000,0.974037
14.600000,0.975390
14.800000,0.977055
15.000000,0.978408
15.200000,0.979084
15.400000,0.980229
15.600000,0.981374
15.800000,0.982518
16.000000,0.983351
16.200000,0.984183
16.400000,0.984964
16.600000,0.986004
16.800000,0.986733
17.000000,0.987461
17.200000,0.988450
17.400000,0.989334
17.600000,0.990271
17.800000,0.991571
18.000000,0.992196
18.200000,0.993392
18.400000,0.994433
18.600000,0.995005
18.800000,0.995525
19.000000,0.996254
19.200000,0.997086
19.400000,0.997763
19.600000,0.998699
19.800000,0.999376
20.000000,1.000000
