tot_mag_obs,cdf
11.907850,0.0
11.976727,0.000049
12.045605,0.000049
12.114483,0.000049
12.183360,0.000049
12.252238,0.000049
12.321115,0.000049
12.389993,0.000049
12.458870,0.000049
12.527748,0.000049
12.596626,0.000049
12.665503,0.000049
12.734381,0.000049
12.803258,0.000099
12.872136,0.000099
12.941013,0.000099
13.009891,0.000099
13.078769,0.000099
13.147646,0.000099
13.216524,0.000099
13.285401,0.000099
13.354279,0.000148
13.423156,0.000148
13.492034,0.000198
13.560912,0.000247
13.629789,0.000297
13.698667,0.000346
13.767544,0.000544
13.836422,0.000544
13.905300,0.000643
13.974177,0.000890
14.043055,0.001088
14.111932,0.001435
14.180810,0.001633
14.249687,0.001880
14.318565,0.002276
14.387443,0.002820
14.456320,0.003315
14.525198,0.004551
14.594075,0.005689
14.662953,0.007074
14.731830,0.009053
14.800708,0.011972
14.869586,0.015187
14.938463,0.018403
15.007341,0.021619
15.076218,0.025675
15.145096,0.030177
15.213973,0.034629
15.282851,0.040319
15.351729,0.045711
15.420606,0.051301
15.489484,0.057584
15.558361,0.064262
15.627239,0.072128
15.696116,0.081528
15.764994,0.091521
15.833872,0.101266
15.902749,0.112595
15.971627,0.123429
16.040504,0.136391
16.109382,0.149698
16.178259,0.164144
16.247137,0.181211
16.316015,0.199466
16.384892,0.217671
16.453770,0.240230
16.522647,0.264470
16.591525,0.292619
16.660403,0.319284
16.729280,0.349510
16.798158,0.383546
16.867035,0.417582
16.935913,0.456664
17.004790,0.498516
17.073668,0.543633
17.142546,0.590086
17.211423,0.641585
17.280301,0.694618
17.349178,0.752795
17.418056,0.806421
17.486933,0.862570
17.555811,0.915999
17.624689,0.958148
17.693566,0.983032
17.762444,0.993618
17.831321,0.996735
17.900199,0.998318
17.969076,0.999110
18.037954,0.999307
18.106832,0.999505
18.175709,0.999654
18.244587,0.999703
18.313464,0.999753
18.382342,0.999852
18.451219,0.999901
18.520097,0.999901
18.588975,0.999901
18.657852,0.999901
18.726730,0.999901
18.795607,1.000000
