z,cdf
0.005162,0.0
0.008948,0.001633
0.012735,0.003512
0.016521,0.005986
0.020307,0.010290
0.024094,0.019244
0.027880,0.031909
0.031666,0.047937
0.035452,0.062185
0.039239,0.077570
0.043025,0.096171
0.046811,0.118730
0.050598,0.139606
0.054384,0.162857
0.058170,0.186702
0.061956,0.213120
0.065743,0.245523
0.069529,0.274612
0.073315,0.305778
0.077102,0.343030
0.080888,0.378451
0.084674,0.417137
0.088460,0.450035
0.092247,0.476056
0.096033,0.504848
0.099819,0.530128
0.103606,0.554170
0.107392,0.579400
0.111178,0.603987
0.114964,0.632779
0.118751,0.658949
0.122537,0.682943
0.126323,0.706144
0.130110,0.728406
0.133896,0.752053
0.137682,0.773672
0.141468,0.791234
0.145255,0.810379
0.149041,0.828089
0.152827,0.847136
0.156614,0.863510
0.160400,0.877016
0.164186,0.889285
0.167973,0.901306
0.171759,0.912338
0.175545,0.921441
0.179331,0.930593
0.183118,0.938953
0.186904,0.945483
0.190690,0.951816
0.194477,0.957752
0.198263,0.963243
0.202049,0.968586
0.205835,0.973236
0.209622,0.976353
0.213408,0.978876
0.217194,0.981498
0.220981,0.983724
0.224767,0.985851
0.228553,0.987830
0.232339,0.989760
0.236126,0.991442
0.239912,0.992728
0.243698,0.993915
0.247485,0.994608
0.251271,0.995647
0.255057,0.996290
0.258843,0.996834
0.262630,0.997477
0.266416,0.998170
0.270202,0.998417
0.273989,0.998813
0.277775,0.998862
0.281561,0.999011
0.285347,0.999110
0.289134,0.999505
0.292920,0.999505
0.296706,0.999505
0.300493,0.999555
0.304279,0.999555
0.308065,0.999555
0.311852,0.999753
0.315638,0.999753
0.319424,0.999802
0.323210,0.999802
0.326997,0.999852
0.330783,0.999852
0.334569,0.999852
0.338356,0.999852
0.342142,0.999852
0.345928,0.999852
0.349714,0.999901
0.353501,0.999901
0.357287,0.999951
0.361073,0.999951
0.364860,0.999951
0.368646,0.999951
0.372432,0.999951
0.376218,0.999951
0.380005,0.999951
0.383791,1.000000
