thing_id	color_ri	kcorrR	zspec	plate	MJD	fibre
270955430	0.31089718639850616	1.09436	0.5623	3931	55350	287
253141	0.3264191783964634	1.03461	0.5153	777	52320	26
124843071	0.34924524277448654	1.06182	0.535	4732	55648	353
432342698	0.29643381386995316	1.04768	0.5283	4562	55570	360
347556964	0.34735751152038574	1.0097	0.537	5003	55715	423
432292039	0.31986936181783676	1.0905	0.5388	3970	55591	793
377134501	0.347896970808506	1.0498	0.5162	3879	55244	711
238441205	0.3563055247068405	1.09346	0.576	4074	55679	49
354080797	0.3276795446872711	1.01325	0.5379	5013	55723	393
144902127	0.26672859489917755	1.06895	0.5061	4077	55361	691
172061708	0.30482111871242523	1.01007	0.5147	4422	55533	675
52790573	0.3329230695962906	1.03327	0.5149	4044	55359	373
128599188	0.36922965943813324	1.05846	0.5342	4027	55629	619
102131156	0.3423231616616249	1.07958	0.5402	3833	55290	999
295450143	0.3446185290813446	1.09301	0.5135	4480	55591	187
402801513	0.3590521737933159	1.09695	0.5239	4568	55600	448
631197	0.2950741797685623	1.0609	0.5096	1767	53436	91
147434248	0.2952806279063225	1.09585	0.5372	4266	55486	155
397702998	0.2994064912199974	1.06535	0.5612	4965	55721	265
130800434	0.2821635752916336	1.01538	0.5227	4261	55503	39
126833564	0.2840596213936806	1.05231	0.5183	4042	55626	469
61390378	0.2994643300771713	1.05336	0.5676	4352	55533	847
205463473	0.33104632049798965	1.03786	0.5613	4510	55559	493
113228203	0.29494281113147736	1.0454	0.5406	4221	55443	719
407774466	0.2664343472570181	1.01485	0.5059	4575	55590	349
97253166	0.32366376370191574	1.07022	0.5221	3651	55247	937
370374041	0.33356041461229324	1.06416	0.5078	4449	55544	194
429934090	0.34854990243911743	1.09103	0.5304	4700	55709	658
163756334	0.27166418731212616	1.07443	0.5499	4881	55733	297
410694932	0.3318316340446472	1.02459	0.5594	3973	55323	37
349659534	0.3618050366640091	1.06698	0.5157	5006	55706	669
391467262	0.3456292971968651	1.09404	0.5291	3756	55505	713
438064457	0.33715642988681793	1.07094	0.5384	4628	55646	401
56798298	0.3120730221271515	1.07168	0.5512	4035	55383	262
80092441	0.3293339014053345	1.04372	0.5299	3780	55240	907
106233353	0.3715238645672798	1.02583	0.5423	4040	55605	785
235096772	0.29422618448734283	1.06139	0.5258	4065	55368	11
482873460	0.27173110842704773	1.0485	0.5926	3694	55209	209
128743842	0.29740047082304955	1.03462	0.588	4045	55622	357
108379692	0.34010516107082367	1.05485	0.5826	3825	55533	707
127134921	0.3049105480313301	1.00795	0.5243	4743	55645	231
392466641	0.3347604013979435	1.02695	0.5297	4619	55599	381
197402285	0.27738533169031143	1.07672	0.5582	4095	55497	475
351196472	0.31006354093551636	1.05527	0.5464	4455	55539	113
123398157	0.3288619890809059	1.06688	0.5482	3819	55540	341
57797089	0.28072188794612885	1.0505	0.5046	4026	55325	319
355176400	0.3553064465522766	1.01723	0.5134	3872	55382	645
315850418	0.3178957924246788	1.00777	0.5628	3948	55331	899
126436792	0.31113890558481216	1.00557	0.5774	4273	55506	297
446748410	0.34669191762804985	1.05474	0.5421	4699	55684	275
407391379	0.34404584765434265	1.07972	0.5188	3791	55501	433
202931992	0.32260020077228546	1.08614	0.5958	4093	55475	987
367809757	0.3108049724251032	1.02471	0.5585	3873	55277	63
194387822	0.3148088976740837	1.01191	0.5148	4879	55706	485
438897303	0.29088001884520054	1.03283	0.5116	4566	55630	967
88064477	0.27991245687007904	1.04269	0.5276	4232	55447	113
385732048	0.28618451207876205	1.03978	0.5153	4614	55604	467
144866544	0.3321317732334137	1.05732	0.5238	4808	55705	375
148517589	0.3125367537140846	1.03442	0.5214	4798	55672	223
130625575	0.3249373510479927	1.04561	0.5608	4269	55502	21
171376162	0.28754521533846855	1.00108	0.5056	4862	55685	819
370336380	0.3697118032723665	1.05528	0.5169	3874	55280	159
404632207	0.3087838478386402	1.07059	0.5697	3986	55329	187
330810125	0.28324268758296967	1.0077	0.5115	3940	55327	739
135795138	0.2901023030281067	1.00196	0.5498	4742	55660	527
95005719	0.28012751042842865	1.0102	0.5891	4004	55321	475
63721275	0.27406247705221176	1.07423	0.5202	4041	55361	869
245733536	0.32433076947927475	1.08954	0.5721	4071	55660	913
415074672	0.3229643777012825	1.08864	0.5569	4575	55590	880
207123392	0.36476701498031616	1.03563	0.5024	5065	55739	845
380599697	0.3330731466412544	1.09518	0.522	4719	55736	177
419041203	0.32559801638126373	1.06114	0.5396	4563	55617	301
404058446	0.3191804438829422	1.06687	0.5424	4999	55721	663
430024399	0.31348251178860664	1.09716	0.5042	4654	55659	473
375914863	0.284858874976635	1.0639	0.5487	4997	55738	357
137028897	0.26625286042690277	1.07109	0.5515	3814	55535	215
166693329	0.32836664468050003	1.07393	0.5115	4861	55710	481
463164806	0.33961036801338196	1.0561	0.5672	4692	55644	973
153844256	0.3093028962612152	1.05685	0.5017	4836	55689	243
211020257	0.2731396034359932	1.03147	0.5061	4548	55565	830
96587325	0.3117735795676708	1.06639	0.505	4050	55599	511
438149377	0.269165575504303	1.0828	0.5632	4654	55659	626
421820609	0.3089063912630081	1.07827	0.5643	4711	55737	59
149766689	0.3391169235110283	1.08524	0.5857	4258	55481	699
461918942	0.33964208513498306	1.07042	0.5236	4693	55632	974
261123741	0.3028460964560509	1.0959	0.595	4056	55357	785
132531545	0.2602163404226303	1.09615	0.5283	4739	55644	853
444450707	0.33513227477669716	1.08312	0.5267	4699	55684	229
152355627	0.33247119933366776	1.08499	0.566	4797	55662	995
