thing_id	color_ri	kcorrR	zspec	plate	MJD	fibre
296572830	0.4474118798971176	0.386326	0.5842	3930	55332	907
449663432	0.43650277704000473	0.468579	0.5204	4702	55618	832
66502708	0.629451334476471	0.383714	0.5966	4010	55350	255
102855217	0.5424213111400604	0.432627	0.5053	3828	55539	696
397231049	0.5628726407885551	0.495954	0.5057	3759	55236	125
263271747	0.5605019554495811	0.495283	0.5321	4072	55362	604
157841450	0.4794304110109806	0.489853	0.5841	4802	55652	631
422521286	0.5089421458542347	0.40858	0.5729	4617	55617	271
476764808	0.5182807296514511	0.306031	0.5431	3692	55186	545
351736729	0.538048155605793	0.321292	0.5177	4455	55539	231
213716597	0.6551841758191586	0.232214	0.5193	4510	55559	831
424227401	0.5363142937421799	0.49845	0.592	3760	55268	833
253340252	0.6257216185331345	0.260196	0.5885	4498	55615	971
484247119	0.6354012340307236	0.210423	0.5222	3697	55290	329
172675617	0.49565520137548447	0.289472	0.5219	4836	55689	773
141990264	0.4798358604311943	0.446339	0.5389	4749	55633	139
155486280	0.4455559104681015	0.476227	0.5264	4758	55682	886
403072188	0.5379562508314848	0.41468	0.5315	3982	55332	935
69157904	0.6043899953365326	0.321294	0.5386	3771	55544	595
176702474	0.5432615801692009	0.303348	0.5032	4859	55684	875
122069288	0.4859761893749237	0.417071	0.5212	3815	55537	669
137385951	0.6582249030470848	0.147869	0.507	4263	55484	583
54123424	0.5796982273459435	0.257655	0.5823	3770	55234	369
442215411	0.593941742554307	0.0879549	0.5299	3656	55241	334
75571656	0.5423386618494987	0.46102	0.5226	3779	55222	799
140710247	0.4470883160829544	0.487061	0.5148	4732	55648	951
322447579	0.5264077857136726	0.36023	0.575	3947	55332	209
411202857	0.4690413549542427	0.449822	0.5273	3979	55597	877
419525703	0.4773114398121834	0.485105	0.5513	4648	55673	492
461415057	0.6728795021772385	0.233707	0.5744	3663	55176	323
62286921	0.675034187734127	0.418631	0.5606	4355	55533	501
428598268	0.4981044977903366	0.389106	0.5759	3657	55244	493
431409943	0.44764332473278046	0.451035	0.5407	4700	55709	925
130957024	0.47095340490341187	0.469363	0.5994	4259	55501	553
181776746	0.49314020574092865	0.418804	0.5784	4079	55363	525
434239905	0.5338104218244553	0.29185	0.5213	3664	55245	897
137149660	0.47128386050462723	0.491549	0.5438	4018	55622	593
65761414	0.680677518248558	0.389208	0.572	3774	55244	681
221285422	0.467426136136055	0.4846	0.5851	4067	55361	327
440299699	0.51377023011446	0.364457	0.5744	3672	55484	639
473834002	0.47859348356723785	0.444928	0.5252	3665	55247	311
153599714	0.5478871017694473	0.383995	0.5931	4318	55508	895
215461517	0.681591983884573	0.357345	0.5784	4510	55559	667
452667031	0.4278620295226574	0.47279	0.5159	4690	55653	451
450428641	0.6211145222187042	0.185553	0.5473	3807	55511	479
431898733	0.4565182253718376	0.471184	0.501	3658	55205	447
62199242	0.6230342835187912	0.33399	0.5997	4026	55325	613
448211045	0.46346379444003105	0.49454	0.5793	4699	55684	811
93616386	0.5462965369224548	0.476773	0.5189	3826	55563	107
188043283	0.534524217247963	0.479321	0.575	4079	55363	557
211405025	0.6606585755944252	0.388341	0.5838	4510	55559	921
147939993	0.4478719010949135	0.437181	0.5781	4797	55662	91
209697906	0.4580482132732868	0.453737	0.5283	4511	55602	641
185294103	0.5726344659924507	0.232012	0.5497	4531	55563	699
104265957	0.47733595594763756	0.472315	0.5228	3588	55184	850
