galcount	a.r_bulge*sqrt(a.ba_bulge)	n_bulge	b.r_bulge*sqrt(b.ba_bulge)	n_bulge	ProbaE	ProbaSab	ProbaScd
416404	0.8150104496851481	3.9266	1.2236930364067964	7.3993	0.105572	0.771412	0.123016
309194	2.0564046268171436	0.6365	2.0413886168805204	0.4447	0.082812	0.7683	0.148888
191763	1.3472070922029864	1.2437	1.375926873113595	0.7829	0.015525	0.752002	0.232473
201772	3.4814412413566793	4.6684	2.623023960230654	2.7285	0.126311	0.764115	0.109574
144038	4.542359680052589	1.2949	4.650938575164685	1.0132	0.067565	0.770818	0.161617
266367	12.206856480736546	1.6853	13.458819157547836	1.4806	0.039036	0.794533	0.166431
382743	6.0088892602725075	2.0122	6.963406791418599	2.0144	0.016987	0.767979	0.215034
532120	1.6283973603272777	1.0176	1.8266962572946015	0.8318	0.073601	0.80971	0.116689
364909	1.5538248241860975	3.0238	1.6026181450278731	2.2892	0.065368	0.798039	0.136594
149949	2.4260573497474467	1.1687	2.5700275879846854	1.1107	0.059655	0.771676	0.168669
633138	1.6878677566063467	1.5465	1.7306144806531394	1.3576	0.042644	0.791419	0.165937
20533	1.3158297591065622	2.301	1.3291680009037234	2.1551	0.103993	0.760632	0.135375
144316	2.283156588962785	2.5479	2.5880529385636826	1.4603	0.07669	0.774754	0.148556
218334	1.759484073225498	2.1409	1.8606454137748782	1.7684	0.077209	0.790663	0.132128
659553	1.2533162378971663	1.5001	1.4156775307880383	1.2058	0.019047	0.759877	0.221075
246800	2.7737507391849823	2.5097	3.0659554956106456	2.192	0.076737	0.770143	0.15312
616680	1.216238315071275	3.1324	1.19007318632855	3.05	0.146014	0.752995	0.100991
56653	3.7092352653785583	0.9336	4.166517642699569	0.8777	0.008859	0.804909	0.186231
300617	2.2130139229744037	1.501	2.6423173407304454	1.5709	0.047799	0.766033	0.186168
486979	1.0526478275122828	5.0548	1.0590262130802566	4.6668	0.088382	0.762143	0.149475
