galcount	a.r_bulge*sqrt(a.ba_bulge)	n_bulge	b.r_bulge*sqrt(b.ba_bulge)	n_bulge	ProbaE	ProbaSab	ProbaScd
109251	5.765049738531517	1.7633	7.526834065323063	1.7882	0.05258	0.18541	0.76201
499188	2.507496345572789	0.9352	2.5169568662237842	0.701	0.03516	0.180616	0.784224
433599	4.436402313329331	1.0269	4.21809470863656	0.8445	0.037132	0.191619	0.771248
155144	5.857624889329848	1.0422	5.65862436265504	0.8672	0.030523	0.200702	0.768775
334338	2.354273258757807	0.8778	2.2960599179163173	0.7846	0.055526	0.155208	0.789266
134893	1.3965652031631774	0.8009	1.3500790599366852	0.7403	0.041578	0.167321	0.791101
297419	2.049231065515036	0.7706	1.7933638498065618	1.2669	0.016553	0.145582	0.837866
21101	4.862367162845596	0.9995	5.1226752406640435	0.847	0.010834	0.128539	0.860627
620279	7.093835241597632	4.3715	4.744095185195431	2.4536	0.018107	0.221592	0.760301
269911	2.189462579186657	1.0549	2.512308195949567	1.0082	0.062212	0.135213	0.802575
171282	3.5033424004012153	0.7226	3.644249469823203	0.5136	0.010793	0.180714	0.808493
604781	3.310192112637904	0.7997	4.738743605689692	0.439	0.038617	0.202592	0.758791
452201	2.4433081459944446	0.9222	2.439058316011049	0.6202	0.040552	0.100414	0.859034
249509	5.8918238518403365	1.2425	6.124688294301362	1.1097	0.076534	0.153715	0.769752
395905	2.3384987443778895	0.5186	2.39904695234493	0.3879	0.043414	0.205628	0.750959
459813	6.3181654582075	1.6122	5.685385606335944	1.3809	0.032718	0.187486	0.779796
129965	3.180631628692731	1.4023	3.2556897390720527	1.0487	0.021822	0.179171	0.799007
375120	3.446251503744815	1.2801	3.5050679385216386	0.9775	0.026392	0.214917	0.758691
111116	27.31985956957014	1.6104	27.740728038083887	1.3691	0.026971	0.206659	0.766371
634802	2.4530361367148124	0.9797	2.377860141969074	0.7141	0.046895	0.192549	0.760555
