galcount	a.r_bulge*sqrt(a.ba_bulge)	n_bulge	b.r_bulge*sqrt(b.ba_bulge)	n_bulge	ProbaE	ProbaSab	ProbaScd
431805	1.3209949354456405	3.4704	1.4100683332840824	3.4494	0.876474	0.068175	0.055351
549258	2.6951033327330527	4.85	5.16984055722564	6.1136	0.887444	0.059171	0.053385
165433	1.409870519469239	4.7351	1.7709025564257725	6.0606	0.778594	0.180331	0.041075
440635	3.5891021746356047	6.9302	3.5389474807219643	6.3039	0.94036	0.037279	0.022361
605546	1.3235695989552858	3.4518	1.3715853562443385	3.2347	0.801427	0.162289	0.036284
414847	3.04045851037675	4.3938	3.9156883303664176	4.6082	0.93324	0.046591	0.020169
107249	3.3900499545654728	5.4193	4.3685485594986275	5.9134	0.968832	0.017672	0.013496
350019	2.1694254786542366	3.288	2.5580445614719594	3.5206	0.852302	0.111859	0.035839
587097	1.7948405959510334	6.0306	1.9135045639403154	5.6906	0.913991	0.064905	0.021104
541543	1.8837512029179082	5.8795	2.8545538904802896	6.5942	0.914095	0.055669	0.030236
444874	3.547718045917752	4.4006	4.307618150894776	4.7593	0.966872	0.019393	0.013735
384100	4.794768330901463	7.1868	3.8161388644410335	5.8545	0.958923	0.022518	0.018559
467666	1.7563648395897984	3.4566	1.9374327814193466	3.4603	0.81075	0.134839	0.054411
173926	1.549281754398711	3.1446	1.678429419655977	3.2044	0.750688	0.179609	0.069703
546340	1.5607230669775136	4.8555	1.942412845679936	4.9344	0.815493	0.102968	0.081539
520345	3.3750711048845896	4.4828	4.890166038740867	5.4002	0.872615	0.081033	0.046352
123017	3.187732515195186	3.7236	3.277601979819327	3.3455	0.892022	0.084072	0.023906
643812	2.0635997724068877	3.4447	6.673843605374738	5.7744	0.896597	0.056407	0.046996
