BT,cdf
0.001703,0.0
0.011664,0.002325
0.021625,0.004304
0.031587,0.007173
0.041548,0.011576
0.051509,0.017562
0.061470,0.024537
0.071431,0.031760
0.081392,0.038933
0.091353,0.046206
0.101315,0.055407
0.111276,0.062679
0.121237,0.070644
0.131198,0.079153
0.141159,0.087167
0.151120,0.096121
0.161081,0.104136
0.171043,0.112645
0.181004,0.121352
0.190965,0.128080
0.200926,0.136885
0.210887,0.144949
0.220848,0.154101
0.230809,0.162709
0.240770,0.171564
0.250732,0.181310
0.260693,0.190215
0.270654,0.201989
0.280615,0.210794
0.290576,0.222321
0.300537,0.232364
0.310498,0.241615
0.320460,0.253042
0.330421,0.263975
0.340382,0.275106
0.350343,0.284506
0.360304,0.295488
0.370265,0.307262
0.380226,0.318096
0.390188,0.331602
0.400149,0.343524
0.410110,0.355496
0.420071,0.366330
0.430032,0.380182
0.439993,0.393292
0.449954,0.407193
0.459916,0.419115
0.469877,0.430197
0.479838,0.445632
0.489799,0.457851
0.499760,0.470268
0.509721,0.486247
0.519682,0.497724
0.529644,0.509944
0.539605,0.523894
0.549566,0.535767
0.559527,0.547146
0.569488,0.562531
0.579449,0.574453
0.589410,0.590432
0.599371,0.603196
0.609333,0.617691
0.619294,0.628822
0.629255,0.645394
0.639216,0.658801
0.649177,0.670723
0.659138,0.685218
0.669099,0.698922
0.679061,0.713169
0.689022,0.725092
0.698983,0.736668
0.708944,0.748590
0.718905,0.759721
0.728866,0.772484
0.738827,0.782873
0.748789,0.794796
0.758750,0.806471
0.768711,0.817107
0.778672,0.827100
0.788633,0.837390
0.798594,0.848620
0.808555,0.859256
0.818517,0.870585
0.828478,0.880974
0.838439,0.891659
0.848400,0.901603
0.858361,0.911546
0.868322,0.920699
0.878283,0.929653
0.888244,0.939547
0.898206,0.947660
0.908167,0.955377
0.918128,0.964579
0.928089,0.973484
0.938050,0.980311
0.948011,0.986890
0.957972,0.992283
0.967934,0.995399
0.977895,0.998615
0.987856,0.999654
0.997817,1.000000
