airmass,cdf
1.002730,0.0
1.010624,0.012071
1.018518,0.044919
1.026412,0.079301
1.034306,0.102107
1.042199,0.129267
1.050093,0.157069
1.057987,0.179677
1.065881,0.205748
1.073775,0.229198
1.081669,0.252795
1.089563,0.272732
1.097457,0.290343
1.105351,0.315870
1.113245,0.349065
1.121138,0.382260
1.129032,0.413377
1.136926,0.440981
1.144820,0.464678
1.152714,0.483378
1.160608,0.499555
1.168502,0.511725
1.176396,0.527011
1.184290,0.551746
1.192184,0.584100
1.200077,0.611655
1.207971,0.637627
1.215865,0.656377
1.223759,0.680123
1.231653,0.704413
1.239547,0.729148
1.247441,0.746859
1.255335,0.757198
1.263229,0.766152
1.271123,0.775898
1.279017,0.789008
1.286910,0.799891
1.294804,0.809934
1.302698,0.819482
1.310592,0.825467
1.318486,0.832492
1.326380,0.840259
1.334274,0.847531
1.342168,0.855645
1.350062,0.863016
1.357955,0.872564
1.365849,0.881963
1.373743,0.893836
1.381637,0.904274
1.389531,0.913130
1.397425,0.924458
1.405319,0.931335
1.413213,0.934996
1.421107,0.937024
1.429001,0.939250
1.436894,0.941526
1.444788,0.942614
1.452682,0.943999
1.460576,0.945384
1.468470,0.946720
1.476364,0.949045
1.484258,0.951370
1.492152,0.956713
1.500046,0.963441
1.507940,0.970169
1.515833,0.975957
1.523727,0.982388
1.531621,0.987088
1.539515,0.989611
1.547409,0.990650
1.555303,0.991541
1.563197,0.992728
1.571091,0.994311
1.578985,0.994954
1.586879,0.995350
1.594772,0.995943
1.602666,0.996092
1.610560,0.996438
1.618454,0.996784
1.626348,0.996784
1.634242,0.996784
1.642136,0.996784
1.650030,0.996784
1.657924,0.996784
1.665818,0.996784
1.673712,0.996834
1.681605,0.996834
1.689499,0.996982
1.697393,0.997180
1.705287,0.997576
1.713181,0.997823
1.721075,0.998021
1.728969,0.998367
1.736863,0.998763
1.744757,0.999011
1.752651,0.999307
1.760544,0.999505
1.768438,0.999703
1.776332,0.999802
1.784226,0.999802
1.792120,1.000000
