eb,cdf
0.000000,0.0
0.010000,0.000693
0.020000,0.003166
0.030000,0.008905
0.040000,0.014693
0.050000,0.021075
0.060000,0.025626
0.070000,0.030276
0.080000,0.033640
0.090000,0.036806
0.100000,0.038785
0.110000,0.040912
0.120000,0.043485
0.130000,0.045810
0.140000,0.048926
0.150000,0.050806
0.160000,0.053478
0.170000,0.057188
0.180000,0.060602
0.190000,0.064460
0.200000,0.068814
0.210000,0.073019
0.220000,0.078015
0.230000,0.083358
0.240000,0.088107
0.250000,0.093351
0.260000,0.098546
0.270000,0.104433
0.280000,0.110270
0.290000,0.117147
0.300000,0.122786
0.310000,0.129168
0.320000,0.135451
0.330000,0.142228
0.340000,0.149995
0.350000,0.165084
0.360000,0.165084
0.370000,0.172356
0.380000,0.180420
0.390000,0.188731
0.400000,0.197437
0.410000,0.215939
0.420000,0.215939
0.430000,0.225487
0.440000,0.234986
0.450000,0.243742
0.460000,0.254823
0.470000,0.276689
0.480000,0.276689
0.490000,0.288364
0.500000,0.299693
0.510000,0.311913
0.520000,0.325022
0.530000,0.338033
0.540000,0.350796
0.550000,0.364747
0.560000,0.377709
0.570000,0.406550
0.580000,0.406550
0.590000,0.421441
0.600000,0.436529
0.610000,0.450975
0.620000,0.467399
0.630000,0.481350
0.640000,0.497032
0.650000,0.513951
0.660000,0.532205
0.670000,0.547343
0.680000,0.563174
0.690000,0.596171
0.700000,0.613634
0.710000,0.613634
0.720000,0.630355
0.730000,0.648115
0.740000,0.666469
0.750000,0.684773
0.760000,0.702731
0.770000,0.719303
0.780000,0.736371
0.790000,0.752152
0.800000,0.768230
0.810000,0.785545
0.820000,0.816761
0.830000,0.831701
0.840000,0.831701
0.850000,0.847037
0.860000,0.862125
0.870000,0.876175
0.880000,0.889483
0.890000,0.904522
0.900000,0.916939
0.910000,0.929207
0.920000,0.940883
0.930000,0.951222
0.940000,0.969922
0.950000,0.978579
0.960000,0.978579
0.970000,0.985703
0.980000,0.991491
0.990000,0.995300
1.000000,1.000000
