n_bulge,cdf
0.130000,0.0
0.323600,0.022460
0.517200,0.043287
0.710800,0.070347
0.904400,0.102206
1.098000,0.139557
1.291600,0.177649
1.485200,0.212773
1.678800,0.246018
1.872400,0.277283
2.066000,0.308153
2.259600,0.337489
2.453200,0.368210
2.646800,0.397101
2.840400,0.424211
3.034000,0.452310
3.227600,0.476897
3.421200,0.503067
3.614800,0.528990
3.808400,0.557089
4.002000,0.584298
4.195600,0.607252
4.389200,0.631790
4.582800,0.654843
4.776400,0.675472
4.970000,0.693727
5.163600,0.710745
5.357200,0.726774
5.550800,0.741417
5.744400,0.755516
5.938000,0.770159
6.131600,0.782032
6.325200,0.792372
6.518800,0.803057
6.712400,0.812506
6.906000,0.821955
7.099600,0.829178
7.293200,0.837093
7.486800,0.844860
7.680400,0.853666
7.874000,0.860344
8.067600,0.865489
8.261200,0.871723
8.454800,0.877857
8.648400,0.884140
8.842000,0.889087
9.035600,0.893638
9.229200,0.897447
9.422800,0.901158
9.616400,0.904324
9.810000,0.908232
10.003600,0.912338
10.197200,0.916048
10.390800,0.919017
10.584400,0.921935
10.778000,0.924656
10.971600,0.927723
11.165200,0.930048
11.358800,0.932720
11.552400,0.935441
11.746000,0.938013
11.939600,0.940289
12.133200,0.942367
12.326800,0.944247
12.520400,0.946126
12.714000,0.948105
12.907600,0.950430
13.101200,0.952854
13.294800,0.954833
13.488400,0.956515
13.682000,0.958494
13.875600,0.960028
14.069200,0.961858
14.262800,0.963491
14.456400,0.964826
14.650000,0.966805
14.843600,0.968240
15.037200,0.970120
15.230800,0.971901
15.424400,0.973286
15.618000,0.974918
15.811600,0.976353
16.005200,0.977441
16.198800,0.978728
16.392400,0.980706
16.586000,0.982141
16.779600,0.983675
16.973200,0.984911
17.166800,0.985802
17.360400,0.987138
17.554000,0.988473
17.747600,0.989215
17.941200,0.990502
18.134800,0.991689
18.328400,0.992926
18.522000,0.994162
18.715600,0.995399
18.909200,0.996488
19.102800,0.997724
19.296400,0.998664
19.490000,1.000000
