zp,cdf
23.945400,0.0
23.947851,0.000396
23.950302,0.001435
23.952753,0.001583
23.955204,0.002474
23.957655,0.002474
23.960106,0.006431
23.962557,0.008361
23.965008,0.014495
23.967459,0.018354
23.969910,0.020135
23.972361,0.023845
23.974812,0.023845
23.977263,0.032304
23.979714,0.036114
23.982165,0.039329
23.984616,0.039379
23.987067,0.041506
23.989518,0.064262
23.991969,0.071485
23.994420,0.081280
23.996871,0.091125
23.999322,0.100030
24.001773,0.110023
24.004224,0.125804
24.006675,0.143119
24.009126,0.150440
24.011577,0.159543
24.014028,0.181458
24.016479,0.193826
24.018930,0.209607
24.021381,0.234392
24.023832,0.249579
24.026283,0.279806
24.028734,0.311319
24.031185,0.331008
24.033636,0.347878
24.036087,0.369595
24.038538,0.403483
24.040989,0.426041
24.043440,0.446176
24.045891,0.472494
24.048342,0.494509
24.050793,0.521173
24.053244,0.543683
24.055695,0.557930
24.058146,0.584001
24.060597,0.604680
24.063048,0.622440
24.065499,0.639557
24.067950,0.680271
24.070401,0.689473
24.072852,0.708964
24.075303,0.728802
24.077754,0.748837
24.080205,0.763431
24.082656,0.781191
24.085107,0.793262
24.087558,0.817255
24.090009,0.825913
24.092460,0.839715
24.094911,0.848917
24.097362,0.857722
24.099813,0.867715
24.102264,0.876966
24.104715,0.886861
24.107166,0.895815
24.109617,0.902345
24.112068,0.906550
24.114519,0.909122
24.116970,0.918720
24.119421,0.924063
24.121872,0.937420
24.124323,0.940338
24.126774,0.949738
24.129225,0.957109
24.131676,0.967498
24.134127,0.967498
24.136578,0.970515
24.139029,0.971356
24.141480,0.972989
24.143931,0.976650
24.146382,0.979074
24.148833,0.979074
24.151284,0.985109
24.153735,0.985109
24.156186,0.985109
24.158637,0.985258
24.161088,0.987434
24.163539,0.988275
24.165990,0.988275
24.168441,0.991244
24.170892,0.991244
24.173343,0.996339
24.175794,0.996339
24.178245,0.996339
24.180696,0.996339
24.183147,0.996339
24.185598,0.996339
24.188049,0.996587
24.190500,1.000000
